"Time (ps)"	"Counts per bin"
0	1543
48	2039
96	2916
144	3886
192	5244
240	6618
288	8314
336	9980
384	11933
432	14431
480	16663
528	19137
576	20990
624	22236
672	23169
720	22562
768	21835
816	20525
864	19047
912	17074
960	15293
1008	13547
1056	11795
1104	10384
1152	9247
1200	8105
1248	7146
1296	6220
1344	5681
1392	5027
1440	4439
1488	3908
1536	3598
1584	3127
1632	2857
1680	2644
1728	2338
1776	2210
1824	1934
1872	1798
1920	1721
1968	1524
2016	1402
2064	1321
2112	1190
2160	1098
2208	987
2256	994
2304	898
2352	819
2400	773
2448	726
2496	693
2544	665
2592	624
2640	574
2688	573
2736	526
2784	517
2832	486
2880	457
2928	474
2976	464
3024	433
3072	425
3120	450
3168	467
3216	424
3264	431
3312	435
3360	431
3408	459
3456	421
3504	446
3552	395
3600	348
3648	368
3696	367
3744	326
3792	325
3840	317
3888	267
3936	282
3984	244
4032	240
4080	206
4128	201
4176	190
4224	155
4272	195
4320	150
4368	158
4416	151
4464	110
4512	116
4560	122
4608	107
4656	92
4704	138
4752	101
4800	93
4848	73
4896	86
4944	88
4992	63
5040	92
5088	79
5136	56
5184	67
5232	71
5280	57
5328	69
5376	64
5424	52
5472	61
5520	61
5568	59
5616	52
5664	44
5712	42
5760	53
5808	52
5856	48
5904	46
5952	51
6000	46
6048	43
6096	45
6144	49
6192	31
6240	42
6288	45
6336	35
6384	43
6432	33
6480	35
6528	27
6576	38
6624	43
6672	33
6720	40
6768	40
6816	37
6864	26
6912	21
6960	29
7008	42
7056	40
7104	25
7152	35
7200	35
7248	37
7296	24
7344	31
7392	25
7440	24
7488	22
7536	35
7584	25
7632	19
7680	35
7728	22
7776	28
7824	19
7872	21
7920	20
7968	18
8016	28
8064	20
8112	24
8160	30
8208	27
8256	24
8304	27
8352	28
8400	33
8448	14
8496	17
8544	22
8592	22
8640	34
8688	12
8736	22
8784	24
8832	15
8880	14
8928	21
8976	17
9024	18
9072	21
9120	25
9168	21
9216	16
9264	18
9312	20
9360	18
9408	17
9456	18
9504	19
9552	18
9600	11
9648	27
9696	24
9744	19
9792	19
9840	20
9888	16
9936	19
9984	18
10032	24
10080	13
10128	18
10176	23
10224	19
10272	23
10320	14
10368	16
10416	16
10464	25
10512	18
10560	19
10608	22
10656	17
10704	17
10752	19
10800	22
10848	21
10896	19
10944	22
10992	18
11040	15
11088	19
11136	16
11184	26
11232	13
11280	13
11328	10
11376	14
11424	18
11472	18
11520	14
11568	17
11616	19
11664	13
11712	19
11760	24
11808	21
11856	20
11904	8
11952	12
12000	13
12048	18
12096	20
12144	18
12192	39
12240	68
